Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain
Statistics: BothBlockInstructions.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_FriendNew_8_11_16_ORDER2-16-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Stats	
2	Self2	SelfTask	28	female	19	LASelfMixed	1	691	List5	won	$8.00	$8.00	-$6.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	29	female	19	LASelfMixed	2	665	List5	lost	-$5.00	$4.00	-$5.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self2	SelfTask	30	female	19	LASelfMixed	2	709	List5	lost	-$6.00	$6.00	-$6.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	1	female	19	LASelfMixed	2	742	List6	won	$9.00	$9.00	-$11.25	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	2	female	19	LASelfMixed	2	684	List6	won	$12.00	$12.00	-$21.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	3	female	19	LASelfMixed	2	633	List6	won	$5.00	$5.00	-$6.88	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	4	female	19	LASelfMixed	1	686	List6	lost	-$3.00	$12.00	-$3.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	5	female	19	LASelfGain	1	812	List6	won	$5.00	$5.00	$0.00	$2.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	6	female	19	LASelfMixed	1	746	List6	lost	-$6.75	$9.00	-$6.75	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	7	female	19	LASelfGain	1	912	List6	lost	$0.00	$26.00	$0.00	$10.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	8	female	19	LASelfMixed	1	692	List6	won	$8.00	$8.00	-$3.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	9	female	19	LASelfGain	2	794	List6	won	$19.00	$19.00	$0.00	$8.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	10	female	19	LASelfGain	1	904	List6	lost	$0.00	$25.00	$0.00	$10.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	11	female	19	LASelfMixed	1	814	List6	lost	-$1.88	$5.00	-$1.88	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	12	female	19	LASelfMixed	1	956	List6	lost	-$2.75	$2.00	-$2.75	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	13	female	19	LASelfMixed	1	752	List6	won	$2.00	$2.00	-$1.75	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	14	female	19	LASelfMixed	2	870	List6	lost	-$11.25	$10.00	-$11.25	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	15	female	19	LASelfGain	1	756	List6	lost	$0.00	$5.00	$0.00	$3.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	16	female	19	LASelfMixed	1	841	List6	won	$9.00	$9.00	-$2.25	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	17	female	19	LASelfMixed	2	784	List6	lost	-$11.00	$8.00	-$11.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	18	female	19	LASelfMixed	2	749	List6	won	$4.00	$4.00	-$3.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	19	female	19	LASelfMixed	1	747	List6	won	$6.00	$6.00	-$1.50	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	20	female	19	LASelfMixed	2	896	List6	lost	-$13.50	$9.00	-$13.50	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	21	female	19	LASelfMixed	2	678	List6	lost	-$5.63	$5.00	-$5.63	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	22	female	19	LASelfMixed	1	707	List6	lost	-$3.00	$6.00	-$3.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	23	female	19	LASelfMixed	2	569	List6	won	$10.00	$10.00	-$16.25	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	24	female	19	LASelfMixed	1	663	List6	won	$5.00	$5.00	-$2.50	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	25	female	19	LASelfGain	2	709	List6	lost	$0.00	$28.00	$0.00	$13.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	26	female	19	LASelfMixed	1	771	List6	won	$10.00	$10.00	-$6.25	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	27	female	19	LASelfGain	2	711	List6	lost	$0.00	$12.00	$0.00	$5.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	28	female	19	LASelfMixed	1	716	List6	lost	-$12.00	$12.00	-$12.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	29	female	19	LASelfMixed	2	690	List6	won	$4.00	$4.00	-$6.00	$0.00	Mean BothBlockInstructions.RT	N/A
2	Self3	SelfTask	30	female	19	LASelfMixed	2	608	List6	won	$6.00	$6.00	-$7.50	$0.00	Mean BothBlockInstructions.RT	N/A
3	Both1	BothTask	1	female	19	LABothMixed	2	1742	List11	won	$8.00	$8.00	-$9.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	2	female	19	LABothMixed	2	820	List11	lost	-$3.75	$2.00	-$3.75	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	3	female	19	LABothGain	1	866	List11	won	$12.00	$12.00	$0.00	$4.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	4	female	19	LABothGain	2	968	List11	lost	$0.00	$22.00	$0.00	$13.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	5	female	19	LABothMixed	2	909	List11	lost	-$4.38	$5.00	-$4.38	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	6	female	19	LABothMixed	2	842	List11	lost	-$18.75	$10.00	-$18.75	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	7	female	19	LABothMixed	1	928	List11	won	$9.00	$9.00	-$9.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	8	female	19	LABothMixed	1	750	List11	lost	-$1.25	$2.00	-$1.25	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	9	female	19	LABothMixed	1	539	List11	won	$4.00	$4.00	-$1.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	10	female	19	LABothMixed	2	1048	List11	lost	-$13.00	$8.00	-$13.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	11	female	19	LABothMixed	1	702	List11	won	$8.00	$8.00	-$2.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	12	female	19	LABothMixed	2	684	List11	lost	-$12.00	$6.00	-$12.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	13	female	19	LABothMixed	1	681	List11	lost	-$9.00	$12.00	-$9.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	14	female	19	LABothMixed	2	631	List11	won	$6.00	$6.00	-$9.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	15	female	19	LABothGain	1	836	List11	won	$3.25	$3.25	$0.00	$1.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	16	female	19	LABothGain	1	1122	List11	won	$7.00	$7.00	$0.00	$3.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	17	female	19	LABothMixed	2	888	List11	lost	-$7.00	$8.00	-$7.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	18	female	19	LABothGain	1	910	List11	won	$25.00	$25.00	$0.00	$9.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	19	female	19	LABothGain	2	1139	List11	lost	$0.00	$8.00	$0.00	$4.25	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	20	female	19	LABothMixed	1	745	List11	lost	-$8.75	$10.00	-$8.75	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	21	female	19	LABothMixed	2	486	List11	won	$4.00	$4.00	-$8.00	$0.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	22	female	19	LABothGain	2	932	List11	lost	$0.00	$17.00	$0.00	$9.00	Mean BothBlockInstructions.RT	1246.00
3	Both1	BothTask	23	female	19	LABothMixed	2	657	List11	won	$12.00	$12.00	-$18.00	$0.00	Mean BothBlockInstructions.RT	1246.00
