Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingsList
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Other_8_11_16A_ORDER2-12-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingsList	Stats	
2	Self2	SelfTask	3	female	24	LASelfMixed	2	794	List5	won	$2.00	$2.00	-$3.25	$0.00	NULL	NULL	Mean Response.RT	794.00
2	Self2	SelfTask	4	female	24	LASelfGain	1	808	List5	lost	$0.00	$22.00	$0.00	$10.00	NULL	NULL	Mean Response.RT	808.00
2	Self2	SelfTask	5	female	24	LASelfMixed	1	1469	List5	won	$9.00	$9.00	-$4.50	$0.00	NULL	NULL	Mean Response.RT	1469.00
2	Self2	SelfTask	6	female	24	LASelfGain	1	1139	List5	won	$17.00	$17.00	$0.00	$10.00	NULL	NULL	Mean Response.RT	1139.00
2	Self2	SelfTask	7	female	24	LASelfGain	1	881	List5	won	$4.00	$4.00	$0.00	$2.00	NULL	NULL	Mean Response.RT	881.00
2	Self2	SelfTask	8	female	24	LASelfMixed	1	1230	List5	lost	-$2.00	$4.00	-$2.00	$0.00	NULL	NULL	Mean Response.RT	1230.00
2	Self2	SelfTask	9	female	24	LASelfGain	1	604	List5	won	$11.00	$11.00	$0.00	$6.00	NULL	NULL	Mean Response.RT	604.00
2	Self2	SelfTask	10	female	24	LASelfGain	1	787	List5	lost	$0.00	$7.00	$0.00	$4.00	NULL	NULL	Mean Response.RT	787.00
2	Self2	SelfTask	11	female	24	LASelfMixed	1	1464	List5	lost	-$3.75	$10.00	-$3.75	$0.00	NULL	NULL	Mean Response.RT	1464.00
2	Self2	SelfTask	12	female	24	LASelfMixed	2	493	List5	won	$12.00	$12.00	-$24.00	$0.00	NULL	NULL	Mean Response.RT	493.00
2	Self2	SelfTask	13	female	24	LASelfMixed	2	602	List5	lost	-$10.50	$6.00	-$10.50	$0.00	NULL	NULL	Mean Response.RT	602.00
2	Self2	SelfTask	14	female	24	LASelfMixed	2	520	List5	lost	-$9.38	$5.00	-$9.38	$0.00	NULL	NULL	Mean Response.RT	520.00
2	Self2	SelfTask	15	female	24	LASelfMixed	2	1190	List5	won	$8.00	$8.00	-$5.00	$0.00	NULL	NULL	Mean Response.RT	1190.00
